"","startup","Innovation","MarketPotential","GalileoRelevance","Viability","Feasiblity","Impact","Presentation","TOTAL1"
"1"," 1",2,2,2.5,2,3,2.5,1.5,15.5
"2"," 2",3,2.5,2.5,2.5,3.5,3.5,3,20.5
"3"," 3",2,3,3,2,3.5,3.5,2.5,19.5
"4"," 4",4,3,2.5,2.5,3.5,2,3,20.5
"5"," 5",2.5,3.5,3.5,3,3.5,3,3,22
"6"," 6",2.5,2.5,2.5,2,3,2,2.5,17
"7"," 7",3,2,2.5,1,2.5,1.5,1.5,14
"8"," 8",3,2.5,2,1.5,3,2.5,2,16.5
"9"," 9",3,2.5,2.5,2.5,4,2.5,3.5,20.5
"10"," 10",2.5,2.5,2.5,2,3,2.5,3.5,18.5
"11"," 11",3.5,2.5,4,1,3.5,2,3,19.5
"12"," 12",2,3,2.5,3.5,4,4,3.5,22.5
"13"," 13",4.5,3.5,4,3.5,4,3.5,3.5,26.5
"14"," 14",2,3,2.5,2.5,3,2.5,3,18.5
"15"," 15",3.5,2.5,3.5,1.5,2.5,2,3,18.5
"16"," 16",2.5,3.5,3.5,3.5,4,3,4.5,24.5
"17"," 17",4.5,1.5,3,1.5,2.5,1,4,18
"18"," 18",3,3.5,2,3.5,4,2.5,3,21.5
"19"," 19",2.5,3,3.5,2,3.5,2,2,18.5
"20"," 20",4.5,2.5,4,2,3,3.5,2.5,22
"21"," 21",4,2.5,2,2,2.5,3,3,19
"22"," 22",3,2,2.5,2,2,2.5,2.5,16.5
"23"," 23",3.5,3,3,3,3,2.5,4,22
"24"," 24",2.5,2,3,2.5,2.5,2,3,17.5
"25"," 25",3,2.5,3,2,3,2.5,2,18
"26"," 26",2,2.5,3,2,3,3,2,17.5
"27"," 27",3,3,3,2.5,2,3,3,19.5
"28"," 28",2,2.5,2.5,2.5,2,2,2.5,16
"29"," 29",3.5,3,3,2,3,3,4,21.5
"30"," 30",2,2,2.5,2,2,3,2.5,16
"31"," 31",3,2,3.5,2,2.5,3,3,19
"32"," 32",3,3,3,2.5,3.5,2.5,3,20.5
"33"," 33",4,2.5,3.5,3,3.5,2.5,3.5,22.5
"34"," 34",3.5,2,2.5,1,3,2,2.5,16.5
"35"," 35",3.5,2,2,2,2.5,3.5,3,18.5
"36"," 36",3,3,3.5,2.5,3.5,3.5,3.5,22.5
"37"," 37",2,2,2.5,2,2,2.5,2.5,15.5
"38"," 38",4,4,3.5,2,3,5,3.5,25
"39"," 39",3.5,3.5,4,3,4,3,4,25
"40","p40",4,3,4,1.5,2.5,3,3,21
"41","41",3.5,3,4,4,3.5,3.5,4.5,26
"42","42",2.5,2,1.5,2.5,2,2,3.5,16
"43","43",3.5,3.5,3.5,2,4,2.5,2,21
"44","44",3,2,3.5,2,2.5,3,3,19
"45","45",3,3,3,2.5,3.5,2.5,3,20.5
"46","46",4,2.5,3.5,3,3.5,2.5,3.5,22.5
"47","47",3.5,2,2.5,1,4,2,2.5,17.5
"48","48",3.5,2,2,2,2.5,3.5,3,18.5
"49","49",3,3,3.5,2.5,3.5,3.5,3.5,22.5
"50","50",2,2,2.5,2,2,2.5,2.5,15.5
